elbow_angle_left,elbow_angle_right,shoulder_angle_left,shoulder_angle_right,head_pitch,head_yaw,mouth_open_ratio,wrist_face_distance,shoulder_distance,phone_detected,label,behavior
80.4063,104.8748,18.0961,2.4767,-1.4881,8,0.2898,0.618,0.2609,0,3,Talking
89.8847,89.4783,15.4039,14.1696,7.7551,-0.421,0.0002,0.6844,0.3583,0,0,Attentive
95.3501,108.5501,14.4854,8.7163,19.6182,-11.6969,0.0703,0.2788,0.341,0,2,Looking Down
94.4763,112.363,16.9597,16.7616,39.0624,12.7792,0.0593,0.3476,0.3096,0,2,Looking Down
92.0512,40.4368,15.1119,43.6242,3.1547,-38.2386,0.1177,0.6219,0.2979,0,1,Distracted
64.2557,40,24.809,19.0674,35.5106,5.3164,0.0171,0.2505,0.3136,1,4,Using Phone
78.011,48.4667,16.0298,32.1053,29.0084,-2.3887,0.0739,0.2257,0.3712,1,4,Using Phone
75.3438,76.3975,18.382,5.2725,-1.9201,6.8239,0.0602,0.575,0.3587,0,0,Attentive
60.6465,76.114,16.6763,13.3418,35.808,14.636,0.0421,0.2198,0.3602,1,4,Using Phone
105.7748,97.1062,20.8306,19.1139,10.79,9.3002,0.1368,0.6195,0.2636,0,3,Talking
116.7031,100.2627,22.5356,26.4802,24.2011,0.4324,0.0438,0.3235,0.4227,0,2,Looking Down
81.6476,54.7209,26.0905,17.7821,19.9075,7.2419,0.0372,0.3402,0.3224,1,4,Using Phone
101.9518,90.1641,5.5975,8.2845,-4.092,13.6964,0.209,0.5268,0.4088,0,3,Talking
102.4655,90.6927,13.5973,16.0081,43.9589,19.2387,0.0465,0.3628,0.2829,0,2,Looking Down
78.932,83.1568,5.3788,14.451,11.2115,-11.0771,0.0221,0.5303,0.324,0,0,Attentive
64.2763,78.2422,30.566,26.5315,22.0554,2.6126,0,0.1533,0.3244,1,4,Using Phone
127.4094,97.3997,13.131,21.0832,2.2533,24.9373,0.2296,0.6273,0.3455,0,3,Talking
95.9593,119.2298,18.3431,8.5792,0.7973,18.2527,0.199,0.6922,0.3587,0,3,Talking
80.0199,80.1978,38.1062,24.643,20.6754,4.2756,0.0661,0.1271,0.371,1,4,Using Phone
